DemandNumber,RRD_Market,DU_Lead,Demand_Owner,DEMAND_SUB_SEGMENTATION,Demand_Category,Demand_Alert,CRSD_Date,RHL_Y_Date,Capability,Dmd_Skill,Dmd_Level,Dmd_Location,Client_Interview_(Y/N)
R40948334,AVANADE,walkermatthew@example.net,Catherine Martinez,Attrition,Captive,Project - OR,9/4/2024 22:00,8/10/2024 1:49,Microsoft Business Apps,Microsoft ASP.NET,7,Jaipur,Yes
R40917777,AVANADE,heatherhenderson@example.net,Megan Banks,Employee Initiated,Global Clients,Open For Internal Fulfillment,4/30/2024 16:04,1/1/2024 11:29,Microsoft Platform,Microsoft Dynamics CRM Technical,9,Mumbai,Yes
R40018536,AA&ME,thomasmartin@example.org,Katherine Hernandez,Attrition,Domestic Clients,Project - OR,7/19/2024 10:23,2/20/2024 19:22,Microsoft Platform,Microsoft Functional Testing,9,Hyderabad,Yes
R40007726,AA&ME,igomez@example.com,Michael Williams,Project Initiated,Global Clients,Project - OR,5/13/2024 17:11,9/4/2024 3:26,Microsoft Platform,Microsoft Dynamics 365 Operations Functional,7,Ahmedabad,No
R40863351,Growth Markets,george72@example.net,Kevin Hamilton,Attrition,Global Clients,Open For Internal Fulfillment,8/23/2024 10:41,3/27/2024 15:20,Microsoft Platform,Sitecore,6,Indore,No
R40508698,AVANADE,kimberlyfuller@example.net,James Miller,Ramp-up,Domestic Clients,Open For Internal Fulfillment,8/21/2024 0:31,5/10/2024 9:11,Microsoft Platform,Microsoft 365 SharePoint Online Development,5,Pune,No
R40392092,Growth Markets,brandonwilson@example.net,Bryan Edwards,Attrition,Global Clients,Open For Internal Fulfillment,3/12/2024 19:54,9/13/2024 7:10,Microsoft Platform,Microsoft SQL Server Integration Services SSIS,10,Ahmedabad,No
R40936924,Growth Markets,mcombs@example.org,Steve Vance,Project Initiated,Captive,Open For Internal Fulfillment,7/26/2024 22:25,10/17/2024 19:28,Microsoft Platform,Microsoft Azure Data Services,5,Noida,No
R40582942,AA&ME,torresgary@example.com,Melissa Jones,New Deal,Captive,Client Interview - OR,2/6/2024 19:42,5/22/2024 12:15,Microsoft Business Apps,Microsoft Power Apps,9,Chennai,No
R40269361,Europe,katherine52@example.com,Dan Nguyen,Attrition,Domestic Clients,Client Interview - OR,7/3/2024 10:09,4/26/2024 16:24,Microsoft Platform,Microsoft Front End Development React Javascript (FED ReactJS),4,Bengaluru,No
R40641611,Europe,andersenerika@example.com,Melissa Richardson,Add-up,Global Clients,Open For Internal Fulfillment,3/19/2024 19:25,3/19/2024 17:19,Microsoft Platform,ASP.NET MVC,4,Jaipur,No
R40453874,AA&ME,hhuff@example.net,Michelle Davis,Ramp-up,Captive,Open For Internal Fulfillment,10/14/2024 5:24,1/1/2024 9:51,Microsoft Platform,Microsoft Power Apps,10,Chennai,No
R40046917,Growth Markets,mark86@example.org,Laura Hanson,Ramp-up,Global Clients,Open For Internal Fulfillment,10/25/2024 11:29,9/15/2024 4:56,Microsoft Platform,Sitecore,5,Indore,Yes
R40505679,Growth Markets,patriciapope@example.org,Omar Kline,New Deal,Global-Captive,Client Interview - OR,8/11/2024 14:17,3/17/2024 8:34,Microsoft Business Apps,Microsoft Azure Analytics Services,7,Pune,No
R40023035,AA&ME,newmancourtney@example.net,Alex Williams,Ramp-up,Domestic Clients,Project - OR,3/18/2024 13:26,6/18/2024 6:10,Microsoft Business Apps,ASP.NET MVC,7,Gurugram,Yes
R40967869,North America Market,williamsadam@example.net,Michael Kim MD,New Deal,Global-Captive,Client Interview - OR,8/10/2024 9:32,10/8/2024 23:40,Microsoft Platform,Microsoft Azure Analytics Services,6,Pune,No
R40350735,Growth Markets,donna55@example.com,Shannon Townsend,Employee Initiated,Captive,Client Interview - OR,1/31/2024 13:11,8/9/2024 14:42,Microsoft Business Apps,Sitecore,6,Coimbatore,Yes
R40125276,Growth Markets,mcbridejoshua@example.net,Renee Gonzalez,Employee Initiated,Domestic Clients,Open For Internal Fulfillment,9/17/2024 12:16,4/17/2024 18:22,Microsoft Platform,Microsoft Power Apps,10,Hyderabad,Yes
R40155492,Growth Markets,jamesjones@example.org,Mrs. Samantha Wagner,Employee Initiated,Domestic Clients,Client Interview - OR,4/9/2024 18:31,6/1/2024 23:18,Microsoft Platform,Microsoft Dynamics CRM Technical,5,Noida,Yes
R40902229,Europe,scott05@example.com,Tara Hinton,Attrition,Global Clients,Client Interview - OR,12/19/2024 23:32,6/9/2024 11:47,Microsoft Platform,Microsoft 365 SharePoint Online Development,4,Gurugram,No
R40890769,Growth Markets,fbrooks@example.org,Jenna Carter,Add-up,Domestic Clients,Client Interview - OR,3/22/2024 19:16,5/29/2024 20:08,Microsoft Business Apps,Microsoft Dynamics 365 Operations Functional,5,Hyderabad,No
R40059629,AVANADE,turnerjose@example.org,Lisa Coffey,Employee Initiated,Captive,Client Interview - OR,10/14/2024 0:05,9/30/2024 18:39,Microsoft Platform,Microsoft Front End Development (FED) Angular,6,Bengaluru,Yes
R40524561,AA&ME,kmathews@example.org,Valerie Terry,Employee Initiated,Global Clients,Open For Internal Fulfillment,8/4/2024 17:07,7/12/2024 4:27,Microsoft Platform,Microsoft ASP.NET,9,Bengaluru,Yes
R40081507,Europe,acruz@example.org,Amy Lee,Employee Initiated,Domestic Clients,Client Interview - OR,9/4/2024 10:18,5/13/2024 13:35,Microsoft Business Apps,Microsoft Front End Development (FED) Angular,4,Kolkata,Yes
R40029372,AA&ME,matthewharris@example.org,Lee Ryan,Ramp-up,Domestic Clients,Project - OR,8/14/2024 12:22,11/17/2024 10:14,Microsoft Platform,Microsoft Dynamics 365 Finance Functional,6,Pune,No
R40622356,Europe,elizabeth61@example.net,Natalie Parker,New Deal,Global Clients,Project - OR,4/15/2024 13:13,7/3/2024 7:54,Microsoft Business Apps,Microsoft Robotic Process Automation,7,Indore,No
R40274304,Europe,jamesmalone@example.net,Benjamin Howell,Ramp-up,Global-Captive,Project - OR,10/4/2024 2:30,11/2/2024 2:11,Microsoft Platform,Microsoft Front End Development React Javascript (FED ReactJS),9,Noida,Yes
R40647556,Europe,katrina29@example.org,Heather Esparza,Employee Initiated,Global-Captive,Open For Internal Fulfillment,12/11/2024 19:47,4/9/2024 2:06,Microsoft Business Apps,Microsoft Dynamics 365 ERP Technical,10,Indore,No
R40477298,North America Market,xrodriguez@example.net,Tammy Rodriguez,Employee Initiated,Domestic Clients,Project - OR,4/1/2024 23:42,4/27/2024 0:45,Microsoft Business Apps,Microsoft Azure DevOps,4,Pune,Yes
R40210169,AVANADE,cpena@example.com,Kevin King,Employee Initiated,Global-Captive,Open For Internal Fulfillment,12/6/2024 16:18,12/14/2024 12:05,Microsoft Business Apps,Microsoft SQL Server Integration Services SSIS,6,Kolkata,No
R40832391,Europe,ronald16@example.net,Jamie Thompson,Project Initiated,Captive,Project - OR,4/15/2024 9:44,7/28/2024 12:16,Microsoft Business Apps,Microsoft SQL Server,8,Jaipur,No
R40058595,North America Market,obarnes@example.com,Brandon Rice,New Deal,Captive,Open For Internal Fulfillment,11/20/2024 2:36,4/13/2024 11:03,Microsoft Platform,Sitecore,7,Jaipur,Yes
R40428597,AVANADE,richard36@example.com,Robert Reed,Ramp-up,Global Clients,Open For Internal Fulfillment,8/28/2024 8:17,3/17/2024 6:49,Microsoft Platform,Microsoft Azure PaaS,7,Bengaluru,No
R40208108,Europe,connor77@example.org,Joshua Ryan,New Deal,Captive,Open For Internal Fulfillment,12/3/2024 17:52,8/30/2024 7:54,Microsoft Platform,Microsoft Front End Development React Javascript (FED ReactJS),8,Jaipur,No
R40531808,AVANADE,larry92@example.com,Taylor Singleton,New Deal,Global Clients,Client Interview - OR,10/21/2024 4:33,3/28/2024 6:34,Microsoft Platform,Microsoft Front End Development (FED) Angular,7,Mumbai,Yes
R40811876,North America Market,vanessagregory@example.com,Aimee Miller,Ramp-up,Global Clients,Client Interview - OR,6/17/2024 2:30,5/14/2024 11:34,Microsoft Business Apps,Microsoft SDET,7,Indore,Yes
R40404260,North America Market,adam53@example.org,Jennifer Ramirez,Employee Initiated,Domestic Clients,Open For Internal Fulfillment,8/24/2024 1:42,2/26/2024 15:04,Microsoft Business Apps,Microsoft Front End Development React Javascript (FED ReactJS),9,Kolkata,No
R40046878,AVANADE,terri84@example.com,Brian Harrell,Project Initiated,Domestic Clients,Client Interview - OR,9/5/2024 14:41,8/2/2024 11:51,Microsoft Platform,Microsoft Front End Development (FED) Angular,9,Mumbai,No
R40300815,North America Market,timothywalker@example.net,David Walls,New Deal,Domestic Clients,Project - OR,3/20/2024 10:29,11/20/2024 11:45,Microsoft Platform,Microsoft Power Apps,7,Hyderabad,Yes
R40227349,AVANADE,vhansen@example.org,Christine Bauer,Project Initiated,Global-Captive,Open For Internal Fulfillment,7/10/2024 4:30,7/5/2024 10:46,Microsoft Business Apps,Microsoft Power BI,8,Indore,Yes
R40619598,AA&ME,vhayes@example.com,Stephanie Reyes,Ramp-up,Captive,Open For Internal Fulfillment,2/20/2024 9:04,4/12/2024 7:10,Microsoft Business Apps,Microsoft 365 SharePoint Online Development,7,Hyderabad,No
R40267382,Growth Markets,john45@example.com,Kenneth Williams,Add-up,Global-Captive,Project - OR,8/1/2024 20:07,7/21/2024 1:04,Microsoft Business Apps,Microsoft Azure Data Services,5,Bengaluru,No
R40231121,Europe,pgarza@example.com,Donald Davis,New Deal,Global Clients,Client Interview - OR,11/2/2024 11:09,8/30/2024 6:46,Microsoft Platform,ASP.NET MVC,8,Noida,Yes
R40270140,North America Market,butlerkristin@example.net,Melanie King,Employee Initiated,Captive,Client Interview - OR,6/29/2024 18:31,3/27/2024 7:54,Microsoft Platform,Microsoft Azure PaaS,7,Coimbatore,Yes
R40852733,AA&ME,michaela48@example.com,Misty Bailey,Employee Initiated,Domestic Clients,Project - OR,4/21/2024 16:43,5/20/2024 0:08,Microsoft Platform,Microsoft Power Apps,4,Chennai,No
R40605630,AVANADE,wallacejay@example.net,William Barnes DVM,Ramp-up,Global Clients,Project - OR,8/23/2024 2:44,12/29/2024 4:32,Microsoft Business Apps,Microsoft Azure DevOps,4,Coimbatore,Yes
R40159425,AA&ME,johnny06@example.net,Eric Garza,Project Initiated,Captive,Project - OR,3/28/2024 0:03,10/31/2024 5:41,Microsoft Business Apps,Microsoft SQL Server Integration Services SSIS,9,Pune,No
R40522586,AVANADE,martinpatricia@example.net,Kristopher Shah,Attrition,Global-Captive,Open For Internal Fulfillment,2/26/2024 20:55,12/20/2024 0:02,Microsoft Platform,Microsoft Dynamics 365 Operations Functional,8,Noida,No
R40290233,Growth Markets,mcmahonkaitlin@example.org,Patricia Mcdaniel,Add-up,Captive,Client Interview - OR,12/7/2024 21:33,1/15/2024 5:06,Microsoft Business Apps,Microsoft Dynamics 365 Operations Functional,9,Indore,Yes
R40975808,Europe,ayoung@example.com,April Hopkins,Project Initiated,Domestic Clients,Project - OR,1/16/2024 5:48,4/17/2024 1:15,Microsoft Business Apps,Microsoft Front End Development React Javascript (FED ReactJS),10,Chennai,Yes
R40523665,North America Market,cgriffin@example.org,Anthony Walton,Ramp-up,Global Clients,Client Interview - OR,5/6/2024 4:50,6/24/2024 18:35,Microsoft Platform,Microsoft SQL Server,4,Jaipur,Yes
R40491686,AA&ME,jacobhernandez@example.net,Laurie Duran MD,Project Initiated,Global-Captive,Client Interview - OR,5/19/2024 11:16,12/15/2024 22:11,Microsoft Business Apps,Microsoft Azure IaaS,4,Coimbatore,No
R40216373,North America Market,melaniecervantes@example.com,Jonathan Marquez,New Deal,Domestic Clients,Project - OR,7/1/2024 13:59,6/24/2024 22:50,Microsoft Business Apps,Sitecore,7,Indore,Yes
R40696491,AVANADE,jenniferbrown@example.com,Joshua Sanchez,Attrition,Global Clients,Open For Internal Fulfillment,1/26/2024 21:23,12/15/2024 13:05,Microsoft Platform,Microsoft 365 SharePoint Online Development,5,Hyderabad,No
R40944423,Europe,eric68@example.com,Dale Hamilton,Ramp-up,Global Clients,Open For Internal Fulfillment,10/27/2024 15:13,4/8/2024 13:05,Microsoft Business Apps,Microsoft Dynamics 365 Finance Functional,10,Chennai,No
R40929848,Europe,smithlinda@example.net,Thomas Summers,Employee Initiated,Global Clients,Client Interview - OR,5/16/2024 16:31,8/15/2024 22:19,Microsoft Business Apps,Microsoft Robotic Process Automation Advanced,6,Jaipur,Yes
R40603085,Growth Markets,patrick99@example.net,Shelly Phillips,Attrition,Domestic Clients,Project - OR,11/24/2024 21:03,9/7/2024 1:59,Microsoft Business Apps,Microsoft Azure Analytics Services,10,Gurugram,No
R40447454,North America Market,matthewwilson@example.net,Joshua Simpson,Employee Initiated,Captive,Open For Internal Fulfillment,5/18/2024 12:14,12/23/2024 19:16,Microsoft Business Apps,Sitecore,5,Noida,Yes
R40657793,AA&ME,lopezrichard@example.org,Carol Chang,Project Initiated,Global-Captive,Open For Internal Fulfillment,11/7/2024 21:29,8/19/2024 20:29,Microsoft Business Apps,Microsoft Dynamics CRM Technical,10,Chennai,No
R40823651,AVANADE,donaldsonderek@example.net,Ricky Hall,Ramp-up,Global Clients,Project - OR,4/13/2024 22:39,9/28/2024 12:29,Microsoft Platform,Microsoft Dynamics 365 ERP Technical,9,Coimbatore,No
R40313460,Growth Markets,harrisontaylor@example.com,Amy Moody,Employee Initiated,Domestic Clients,Open For Internal Fulfillment,5/19/2024 13:30,1/20/2024 19:08,Microsoft Platform,Microsoft ASP.NET,7,Noida,No
R40813147,Growth Markets,wdoyle@example.com,Angela Carter,Ramp-up,Captive,Client Interview - OR,6/17/2024 19:39,8/9/2024 5:46,Microsoft Business Apps,Microsoft Power Apps,9,Pune,No
R40033005,Europe,heatherboone@example.net,Ryan King,Project Initiated,Domestic Clients,Client Interview - OR,12/27/2024 8:40,8/14/2024 7:19,Microsoft Business Apps,Microsoft ASP.NET,6,Jaipur,No
R40306554,Europe,ericcastillo@example.com,Benjamin Ramirez,Attrition,Global-Captive,Client Interview - OR,3/8/2024 17:01,9/10/2024 8:57,Microsoft Platform,Microsoft Dynamics 365 ERP Technical,9,Gurugram,Yes
R40053383,Growth Markets,gonzalezdennis@example.org,Amanda Jones,Attrition,Domestic Clients,Open For Internal Fulfillment,6/9/2024 12:10,2/22/2024 10:02,Microsoft Platform,Microsoft Dynamics CRM Functional,5,Bengaluru,Yes
R40004423,North America Market,chrisramsey@example.com,Corey Keller,Ramp-up,Global Clients,Open For Internal Fulfillment,9/30/2024 17:31,6/8/2024 23:33,Microsoft Platform,Microsoft Azure Analytics Services,7,Coimbatore,Yes
R40072746,AVANADE,smithjustin@example.net,John Harris,Employee Initiated,Domestic Clients,Client Interview - OR,8/21/2024 20:52,10/9/2024 1:20,Microsoft Business Apps,Microsoft Front End Development React Javascript (FED ReactJS),5,Chennai,No
R40428164,Europe,bethsanders@example.net,Allison Davis,Ramp-up,Global-Captive,Project - OR,4/11/2024 9:27,8/17/2024 13:00,Microsoft Business Apps,Microsoft Dynamics CRM Functional,10,Kolkata,No
R40072083,AA&ME,amandalewis@example.org,Timothy Murphy,Project Initiated,Captive,Project - OR,1/4/2024 12:41,8/30/2024 2:14,Microsoft Business Apps,Microsoft Robotic Process Automation Advanced,9,Gurugram,Yes
R40289924,North America Market,stewartamanda@example.net,Caitlyn Anderson,New Deal,Captive,Client Interview - OR,10/16/2024 5:31,9/15/2024 18:13,Microsoft Business Apps,Microsoft Power BI,5,Gurugram,No
R40687082,North America Market,osmith@example.com,Jason Vazquez,New Deal,Global Clients,Client Interview - OR,6/15/2024 5:28,4/5/2024 14:35,Microsoft Business Apps,Microsoft 365 SharePoint Online Development,4,Gurugram,Yes
R40897986,AA&ME,sarah30@example.com,Denise Owens,Employee Initiated,Global Clients,Open For Internal Fulfillment,11/19/2024 21:40,9/7/2024 20:33,Microsoft Platform,Microsoft Dynamics CRM Technical,9,Indore,Yes
R40780691,Europe,ule@example.org,Jeffrey Thompson,Ramp-up,Domestic Clients,Client Interview - OR,6/3/2024 1:33,10/20/2024 0:04,Microsoft Platform,Microsoft Azure PaaS,4,Bengaluru,No
R40072422,AVANADE,davidrobinson@example.net,Scott Harris,Employee Initiated,Global-Captive,Open For Internal Fulfillment,3/1/2024 21:50,12/8/2024 4:32,Microsoft Business Apps,Microsoft Robotic Process Automation Advanced,4,Pune,Yes
R40392050,Europe,parkermeagan@example.com,Dakota Doyle,New Deal,Global Clients,Client Interview - OR,11/6/2024 11:16,2/27/2024 11:33,Microsoft Platform,Microsoft Front End Development (FED) Angular,5,Gurugram,No
R40450063,Europe,hollowaycassandra@example.com,Tracy Smith,Attrition,Domestic Clients,Client Interview - OR,9/14/2024 11:09,5/6/2024 9:10,Microsoft Platform,Microsoft 365 SharePoint Online Development,6,Indore,Yes
R40070525,Growth Markets,bradleymelissa@example.net,Heather Gibson,Add-up,Captive,Client Interview - OR,11/19/2024 15:28,3/12/2024 23:55,Microsoft Business Apps,Microsoft Dynamics CRM Functional,9,Jaipur,Yes
R40656579,AA&ME,smithnicholas@example.org,Yesenia Juarez,New Deal,Captive,Client Interview - OR,8/9/2024 21:24,5/12/2024 16:15,Microsoft Business Apps,Microsoft ASP.NET,5,Indore,Yes
R40752223,AVANADE,hollowaycharlotte@example.com,Charlene Soto,Add-up,Captive,Open For Internal Fulfillment,11/28/2024 22:56,3/28/2024 19:41,Microsoft Business Apps,Microsoft Azure PaaS,5,Gurugram,Yes
R40002820,North America Market,ameyer@example.net,Carol Anderson,Add-up,Domestic Clients,Open For Internal Fulfillment,3/2/2024 17:38,2/21/2024 12:06,Microsoft Business Apps,Microsoft Dynamics 365 ERP Technical,4,Chennai,Yes
R40935269,Europe,schmidtrandall@example.com,Jean Moore,Employee Initiated,Global-Captive,Client Interview - OR,4/28/2024 9:24,2/28/2024 22:42,Microsoft Business Apps,Microsoft Azure Analytics Services,8,Bengaluru,Yes
R40149018,AVANADE,garciatimothy@example.com,Robert Fuentes,Employee Initiated,Domestic Clients,Client Interview - OR,9/14/2024 0:21,10/23/2024 4:11,Microsoft Business Apps,Microsoft Azure DevOps,6,Coimbatore,No
R40133303,Growth Markets,xrojas@example.org,Charles Hill,Employee Initiated,Global-Captive,Project - OR,3/27/2024 12:49,8/23/2024 5:50,Microsoft Business Apps,Microsoft Dynamics 365 Operations Functional,4,Ahmedabad,No
R40493136,North America Market,chloe59@example.net,Aaron Wise,New Deal,Domestic Clients,Project - OR,1/21/2024 20:00,7/8/2024 13:24,Microsoft Business Apps,Microsoft SQL Server,9,Indore,Yes
R40694721,North America Market,donaldmendez@example.net,Alexander Riley,Employee Initiated,Global Clients,Client Interview - OR,11/4/2024 2:29,11/21/2024 13:05,Microsoft Business Apps,Microsoft Azure IaaS,4,Gurugram,No
R40416222,AVANADE,hendrickswendy@example.org,Diane Torres,Employee Initiated,Global-Captive,Open For Internal Fulfillment,1/25/2024 10:29,3/24/2024 13:45,Microsoft Business Apps,Microsoft Dynamics CRM Technical,6,Hyderabad,Yes
R40352035,Growth Markets,mhiggins@example.net,Brittney Thomas,Employee Initiated,Captive,Client Interview - OR,12/4/2024 4:46,5/26/2024 3:53,Microsoft Platform,Microsoft Dynamics 365 ERP Technical,4,Hyderabad,No
R40230059,Europe,mooretamara@example.com,Craig Tate,Ramp-up,Captive,Open For Internal Fulfillment,2/11/2024 13:09,5/31/2024 4:23,Microsoft Platform,Microsoft Dynamics CRM Functional,6,Pune,Yes
R40618114,Europe,michael76@example.net,Mr. Joshua Sawyer,Project Initiated,Domestic Clients,Client Interview - OR,3/4/2024 8:37,6/29/2024 6:58,Microsoft Platform,Sitecore,7,Indore,No
R40945699,Growth Markets,howellmichelle@example.net,Timothy Kelly,Add-up,Captive,Client Interview - OR,8/27/2024 15:20,11/21/2024 2:13,Microsoft Platform,Microsoft Dynamics CRM Functional,5,Kolkata,No
R40294159,AVANADE,dburgess@example.com,Paul Cox,Employee Initiated,Global-Captive,Client Interview - OR,11/8/2024 3:07,7/24/2024 20:16,Microsoft Business Apps,Microsoft Front End Development (FED) Angular,5,Gurugram,No
R40619630,AA&ME,michellemeyers@example.org,Jorge Mitchell,Attrition,Global-Captive,Open For Internal Fulfillment,2/23/2024 13:42,7/5/2024 15:45,Microsoft Business Apps,Microsoft Dynamics 365 ERP Technical,6,Chennai,Yes
R40838442,AVANADE,hinesdavid@example.net,Amy Logan,New Deal,Domestic Clients,Client Interview - OR,11/20/2024 4:56,6/30/2024 3:31,Microsoft Business Apps,Microsoft Azure IaaS,9,Indore,Yes
R40097400,North America Market,zsanchez@example.com,Pamela Carroll,Employee Initiated,Global-Captive,Open For Internal Fulfillment,9/20/2024 4:21,1/17/2024 15:11,Microsoft Platform,Microsoft Robotic Process Automation,6,Kolkata,No
R40879646,AVANADE,heathdavid@example.net,Felicia Fox,Ramp-up,Captive,Open For Internal Fulfillment,7/28/2024 2:04,12/1/2024 4:21,Microsoft Platform,Microsoft Robotic Process Automation,8,Pune,No
R40243418,Growth Markets,hannah22@example.org,Michael Chang,New Deal,Global Clients,Client Interview - OR,6/11/2024 8:24,11/22/2024 1:36,Microsoft Business Apps,Microsoft SDET,9,Ahmedabad,No
R40193567,North America Market,mcgeeabigail@example.org,Judy Glenn,Employee Initiated,Captive,Client Interview - OR,5/9/2024 14:02,10/16/2024 8:33,Microsoft Business Apps,Microsoft 365 SharePoint Online Development,8,Gurugram,No
R40064061,AA&ME,ronaldanderson@example.com,Haley Beck,Attrition,Global-Captive,Client Interview - OR,2/1/2024 10:25,12/12/2024 8:33,Microsoft Business Apps,Microsoft 365 SharePoint Online Development,6,Indore,No
R40718002,Europe,vegaangela@example.net,Matthew Booker,Attrition,Global-Captive,Client Interview - OR,8/19/2024 10:31,12/29/2024 14:51,Microsoft Platform,Microsoft Dynamics 365 ERP Technical,4,Gurugram,No
R40601617,Growth Markets,evelyn34@example.net,Joshua Fitzgerald,Employee Initiated,Domestic Clients,Project - OR,8/24/2024 7:59,3/29/2024 7:57,Microsoft Business Apps,Microsoft SDET,7,Jaipur,No
R40089260,AA&ME,arthursmith@example.com,Aaron Meyers,Project Initiated,Global-Captive,Project - OR,7/9/2024 15:41,10/31/2024 17:47,Microsoft Platform,ASP.NET MVC,6,Jaipur,No
R40357854,North America Market,perezmelissa@example.org,Michael Wood,Project Initiated,Captive,Client Interview - OR,11/26/2024 22:35,10/10/2024 17:30,Microsoft Business Apps,Microsoft Robotic Process Automation Advanced,9,Kolkata,No
R40230697,North America Market,joshuagill@example.net,Cristina Ryan,New Deal,Global-Captive,Open For Internal Fulfillment,4/29/2024 23:20,9/4/2024 19:07,Microsoft Business Apps,ASP.NET MVC,6,Mumbai,No
R40518016,Europe,carlyflynn@example.net,Steven Morales,New Deal,Global-Captive,Open For Internal Fulfillment,11/15/2024 21:44,12/10/2024 2:53,Microsoft Platform,Microsoft Front End Development React Javascript (FED ReactJS),4,Pune,Yes
R40477548,Europe,jgreen@example.com,Dylan Gibson,Employee Initiated,Domestic Clients,Open For Internal Fulfillment,1/8/2024 16:46,7/21/2024 22:36,Microsoft Platform,Microsoft Azure Data Services,10,Noida,Yes
R40500421,Europe,rothmike@example.net,Jessica Gonzalez,Employee Initiated,Captive,Project - OR,10/17/2024 13:12,1/28/2024 5:57,Microsoft Business Apps,Microsoft Functional Testing,7,Indore,No
R40539797,Growth Markets,kristin62@example.net,Erica Lewis,Add-up,Domestic Clients,Project - OR,8/8/2024 14:11,3/29/2024 1:31,Microsoft Platform,Sitecore,4,Indore,Yes
R40047920,Growth Markets,johnmartin@example.org,Sandra Weber,Employee Initiated,Captive,Open For Internal Fulfillment,5/26/2024 12:39,6/29/2024 4:03,Microsoft Business Apps,Microsoft Azure DevOps,5,Coimbatore,Yes
R40042961,Growth Markets,slee@example.org,Rachel Jones,Project Initiated,Global-Captive,Project - OR,2/21/2024 17:26,8/15/2024 18:55,Microsoft Business Apps,Microsoft Dynamics 365 Finance Functional,6,Noida,Yes
R40403010,AA&ME,loganestrada@example.net,Nicholas Cantu,Project Initiated,Global-Captive,Client Interview - OR,9/17/2024 2:06,12/15/2024 5:59,Microsoft Platform,Microsoft Power BI,6,Coimbatore,No
R40646342,North America Market,ashley51@example.net,Beth Vasquez,Attrition,Domestic Clients,Project - OR,7/26/2024 4:17,10/8/2024 3:34,Microsoft Platform,Microsoft Dynamics 365 Finance Functional,7,Pune,No
R40903453,AVANADE,ocastillo@example.org,Steven Brown PhD,Project Initiated,Global Clients,Open For Internal Fulfillment,5/15/2024 17:05,4/26/2024 10:54,Microsoft Business Apps,Microsoft Dynamics CRM Functional,5,Chennai,No
R40098586,AVANADE,jenniferdavis@example.org,James Carlson DDS,Ramp-up,Global Clients,Open For Internal Fulfillment,12/12/2024 16:51,4/10/2024 3:36,Microsoft Platform,Microsoft Dynamics 365 Finance Functional,5,Noida,Yes
R40362304,Growth Markets,sheila03@example.com,Lisa Luna,Project Initiated,Global-Captive,Open For Internal Fulfillment,8/1/2024 14:18,10/9/2024 23:16,Microsoft Platform,Sitecore,8,Gurugram,No
R40484697,AA&ME,george61@example.org,Terri Harris,Employee Initiated,Global-Captive,Project - OR,9/24/2024 23:30,6/7/2024 16:18,Microsoft Platform,Microsoft SQL Server Integration Services SSIS,10,Ahmedabad,Yes
R40123251,Growth Markets,oliverpamela@example.org,Marie Wilson,Add-up,Global-Captive,Project - OR,10/12/2024 21:05,9/9/2024 6:36,Microsoft Platform,Microsoft Azure DevOps,5,Noida,Yes
R40422810,North America Market,jchambers@example.net,Bradley Huff,Attrition,Captive,Project - OR,1/20/2024 22:37,12/10/2024 7:08,Microsoft Platform,Microsoft Robotic Process Automation,4,Mumbai,No
R40947354,AA&ME,brandon38@example.org,Michael Sharp,Employee Initiated,Captive,Client Interview - OR,5/22/2024 22:41,9/21/2024 6:16,Microsoft Business Apps,Microsoft SQL Server,4,Ahmedabad,No
R40864419,North America Market,gjackson@example.com,Evan Figueroa,Project Initiated,Domestic Clients,Project - OR,3/10/2024 18:09,6/16/2024 3:09,Microsoft Platform,Microsoft Power BI,5,Ahmedabad,No
R40286572,AVANADE,rick52@example.org,Diana Craig DDS,New Deal,Domestic Clients,Open For Internal Fulfillment,10/29/2024 2:46,1/10/2024 20:20,Microsoft Platform,Microsoft Robotic Process Automation Advanced,4,Coimbatore,Yes
R40839214,Europe,ryanellis@example.com,Michael Mays,Project Initiated,Global-Captive,Client Interview - OR,3/4/2024 17:07,3/15/2024 15:46,Microsoft Business Apps,Microsoft SDET,5,Jaipur,No
R40626594,AA&ME,daniellegray@example.com,Daniel Vincent,Ramp-up,Domestic Clients,Project - OR,3/9/2024 20:30,5/13/2024 19:26,Microsoft Business Apps,Microsoft Dynamics 365 ERP Technical,5,Kolkata,No
R40834704,Growth Markets,kweeks@example.org,Jordan Swanson,Project Initiated,Global Clients,Client Interview - OR,7/7/2024 3:10,8/6/2024 1:40,Microsoft Business Apps,Microsoft SQL Server Integration Services SSIS,8,Bengaluru,Yes
R40480817,AA&ME,adamsandrew@example.org,Richard Greer,Attrition,Domestic Clients,Client Interview - OR,11/18/2024 7:24,9/12/2024 21:02,Microsoft Platform,Microsoft 365 SharePoint Online Development,6,Gurugram,Yes
R40019787,North America Market,parkerautumn@example.com,Gregory Vaughn,New Deal,Global-Captive,Project - OR,6/17/2024 20:45,8/27/2024 8:29,Microsoft Platform,Microsoft 365 SharePoint Online Development,7,Chennai,No
R40746428,Growth Markets,ryan39@example.org,Patricia Evans,Attrition,Global-Captive,Open For Internal Fulfillment,8/13/2024 18:33,1/21/2024 3:44,Microsoft Platform,ASP.NET MVC,6,Chennai,No
R40531307,North America Market,vward@example.org,Allen Johnson MD,Project Initiated,Captive,Client Interview - OR,10/23/2024 9:52,10/18/2024 15:40,Microsoft Business Apps,Microsoft Azure Data Services,8,Gurugram,No
